filter,clusters_mean_isi_spike,clusters_isi,clusters_spike
ON_fast_sustained,5,9,8
OF_fast_sustained,3,9,1
ON_slow_sustained,4,9,4
OF_slow_sustained,3,9,2
OF_slow_sustained,2,9,1
OF_slow_sustained,2,9,1
OF_fast_transient,1,9,6
ON_slow_transient,5,9,5
ON_slow_transient,6,9,8
ON_slow_transient,6,9,8
