filter,clusters_mean_isi_spike,clusters_isi,clusters_spike
ON_fast_sustained,6,8,8
OF_fast_sustained,3,8,1
OF_slow_sustained,2,8,1
OF_slow_transient,3,8,3
OF_slow_transient,3,8,2
