filter,clusters_mean_isi_spike,clusters_isi,clusters_spike
OF_slow_sustained,3,5,3
OF_fast_transient,3,2,3
OF_fast_transient,1,1,3
OF_slow_transient,3,8,3
OF_slow_transient,3,5,3
OF_slow_transient,3,1,3
OF_slow_transient,3,1,3
